,Dataset,Model,ROC_AUC_cv,Accuracy_cv,Precision_cv,Recall_cv,F1score_cv,MCC_cv
0,ser_wp,RandomForest,0.9420116388059961,0.8832032502752348,0.9156911972881921,0.8327317283012822,0.8710845947819701,0.7679060782911419
1,aac_wp,RandomForest,0.9423206051122271,0.8832888300784013,0.9160226062327795,0.8321905074174293,0.8713093123197407,0.7679423909102394
2,ser_wp,ExtraTreesClassifier,0.9456740470908002,0.8898775303812694,0.934419733689698,0.8291298770652643,0.8772583495742196,0.7827961950226863
3,aac_wp,ExtraTreesClassifier,0.9468573861838733,0.8915033709128836,0.9364052972377923,0.8278688110137574,0.8787682959502776,0.7861559499495495
